Customer_ID,Full_Name,Email,Gender,Age,Country,Purchase_Amount,Purchase_Date,Product_Category
001, chris ,invalidemail@,Female,,,18626,2024-02-22,Beauty
002,Jane Davis,janedavis@gmail.com,Male,,Uk,11747,2024-01-29,Electronics
003,EMILY,emily@gmail.com,FEMALE,twenty,Nigeria,not available,2024/01/22,Fashion
004,sarah Lee,sarahlee@gmail.com,MALE,35,Nigeria,,12-04-2024,Beauty
005, EMILY Brown ,invalidemail@,male,twenty,UK,18660,2024/12/24,electronics
006,James Lee,,,27,UK,not available,12-09-2024,
007,john Lee,johnlee@gmail.com,Male,,Uk,not available,2024-11-01,FASHION
008,Jane King,invalidemail@,Male,,nigeria,40885,10/10/2024,Electronics
009,sarah Lee,sarahlee@gmail.com,Female,,nigeria,not available,09/04/2024,Electronics
010,James Wilson,jameswilson@gmail.com,male,twenty,NIGERIA,33779,2024/07/27,electronics
011,chris Smith,chrissmith@gmail.com,male,33,USA,not available,05/05/2024,Electronics
012, James King ,,Female,,nigeria,5841,11/03/2024,Beauty
013,chris Wilson,chriswilson@gmail.com,,twenty,,not available,2024-11-29,FASHION
014,Smith,smith@gmail.com,Male,25,Canada,9634,2024-01-29,
015,david King,invalidemail@,MALE,thirty,Uk,,2024/12/06,Fashion
016, michael King ,michaelking@gmail.com,MALE,thirty,Nigeria,,2024-01-23,Fashion
017,EMILY White,emilywhite@gmail.com,FEMALE,thirty,Uk,35996,2024-01-29,Beauty
018, david Lee ,davidlee@gmail.com,male,twenty,UK,not available,2024-06-13,Fashion
019,anna Lee,annalee@gmail.com,male,twenty,UK,not available,2024-06-01,electronics
020,James doe,,,thirty,Uk,40773,29/02/2024,
021,michael doe,michaeldoe@gmail.com,Female,thirty,NIGERIA,,2024-04-28,Beauty
022,john Davis,johndavis@gmail.com,male,39,,not available,04/11/2024,Fashion
023,michael Lee,michaellee@gmail.com,MALE,,Nigeria,8377,09/08/2024,Fashion
024, Jane Wilson ,janewilson@gmail.com,male,twenty,USA,not available,2024/02/14,Electronics
025,Jane Smith,janesmith@gmail.com,FEMALE,twenty,UK,not available,04/10/2024,Electronics
026, EMILY Smith ,emilysmith@gmail.com,MALE,,,not available,2024/01/10,electronics
027, john Smith ,invalidemail@,,,usa,,2024/12/16,Electronics
028, sarah King ,,Male,twenty,UK,8617,28/12/2024,electronics
029,anna White,annawhite@gmail.com,,twenty,Uk,,05-10-2024,Fashion
030,chris Brown,chrisbrown@gmail.com,FEMALE,,UK,not available,10-05-2024,Electronics
031,EMILY doe,emilydoe@gmail.com,MALE,thirty,Nigeria,not available,2024/01/08,Beauty
032,EMILY White,emilywhite@gmail.com,,23,Canada,,2024/07/19,Electronics
033,chris doe,invalidemail@,MALE,thirty,Uk,,25-04-2024,FASHION
